,Neighborhood,Sectors,Population,Pop % of City,Major Roads,Street Density,Major Crime Report,Crime %,# Playgrounds,Jobs:Construction,Jobs:Manufacturing,Jobs:Retail,Jobs:Transportation,Jobs:Information,Jobs: Finance,Jobs:Science,Jobs:Educ,Jobs: Arits,Jobs: Public,Park,Playground,Street,Maintenance_responsibility,Address,Price,Beds,Baths
0,East Allegheny,3.0,933.0,0.0,2.23,19.7,71.0,7.6,4.0,0.03,0.02,0.12,0.0,0.0,0.1,0.05,0.43,0.2,0.01,Allegheny Commons,Deer Pit Playground,W OHIO ST,Parks - Northern,304 30th St,309000.0,3.0,2.0
1,Allentown,6.0,2500.0,0.01,1.65,41.8,159.0,6.4,0.0,0.04,0.08,0.12,0.06,0.02,0.08,0.13,0.28,0.11,0.01,Emerald View Park - Grandview Park,Grandview Playground,MCLAIN ST,Parks - Southern,,,,
2,Arlington,7.0,1869.0,0.01,0.86,22.8,50.0,2.7,0.0,0.07,0.13,0.12,0.02,0.05,0.01,0.09,0.27,0.08,0.0,,,,,102 Eads St,39900.0,3.0,2.0
3,Arlington,7.0,1869.0,0.01,0.86,22.8,50.0,2.7,0.0,0.07,0.13,0.12,0.02,0.05,0.01,0.09,0.27,0.08,0.0,,,,,2426 Spring St,59900.0,5.0,0.0
4,Arlington,7.0,1869.0,0.01,0.86,22.8,50.0,2.7,0.0,0.07,0.13,0.12,0.02,0.05,0.01,0.09,0.27,0.08,0.0,,,,,2015 Norte Way,34999.0,2.0,1.0
5,Arlington,7.0,1869.0,0.01,0.86,22.8,50.0,2.7,0.0,0.07,0.13,0.12,0.02,0.05,0.01,0.09,0.27,0.08,0.0,,,,,2328 Elsie St,14900.0,1.0,1.0
6,Arlington Heights,7.0,244.0,0.0,0.0,8.2,19.0,7.8,0.0,0.0,0.0,0.14,0.0,0.0,0.29,0.0,0.18,0.28,0.0,,,,,,,,
7,Banksville,5.0,4144.0,0.01,5.99,18.9,62.0,1.5,1.0,0.05,0.05,0.11,0.02,0.02,0.11,0.12,0.21,0.1,0.08,Banksville Park,Banksville Playground,CRANE AVE,Parks - Western,,,,
8,Bedford Dwellings,15.0,1202.0,0.0,0.97,25.1,42.0,3.5,1.0,0.0,0.07,0.0,0.12,0.0,0.03,0.02,0.55,0.02,0.06,Ammon Park,Ammon Playground,MEMORY LN,Parks - Schenley,,,,
9,Beechview,5.0,7974.0,0.03,6.42,21.1,193.0,2.4,5.0,0.06,0.06,0.12,0.03,0.03,0.08,0.09,0.25,0.17,0.05,Able Long Park,Able Long Playground,COAST AVE,Parks - Western,1610 Methyl St,49900.0,3.0,1.0
10,Beechview,5.0,7974.0,0.03,6.42,21.1,193.0,2.4,5.0,0.06,0.06,0.12,0.03,0.03,0.08,0.09,0.25,0.17,0.05,Able Long Park,Able Long Playground,COAST AVE,Parks - Western,342 Mayville Ave,125000.0,2.0,1.0
11,Beltzhoover,6.0,1925.0,0.01,3.32,41.0,83.0,4.3,3.0,0.0,0.01,0.14,0.11,0.08,0.15,0.11,0.22,0.09,0.01,McKinley Park,Mckinley Bausman Playground,BAUSMAN ST,Parks - Southern,265 Boggston Ave,24700.0,2.0,1.0
12,Bloomfield,12.0,8442.0,0.03,3.8,45.2,453.0,5.4,2.0,0.03,0.05,0.09,0.02,0.04,0.04,0.09,0.36,0.16,0.02,Osceola Park,Osceola Playground,OSCEOLA ST,Parks - Northeast,4777 Yew,349900.0,4.0,2.0
13,Bluff,15.0,6600.0,0.02,9.08,50.4,105.0,1.6,1.0,0.0,0.04,0.19,0.01,0.03,0.03,0.06,0.35,0.3,0.0,Tustin Park,Tustin Playground,TUSTIN ST,Parks - Schenley,,,,
14,Bon Air,6.0,808.0,0.0,1.67,29.3,26.0,3.2,1.0,0.15,0.07,0.21,0.03,0.02,0.09,0.11,0.17,0.04,0.05,Bon Air Park,Bon Air Playground,CALLE AVE,Parks - Southern,,,,
15,Brighton Heights,2.0,7247.0,0.02,4.19,26.4,241.0,3.3,2.0,0.02,0.06,0.12,0.05,0.03,0.12,0.1,0.26,0.09,0.07,Brighton Heights Park,Brighton Heights Playground,BRIGHTON WOODS RD,Parks - Northern,3261 Langfitt Ave,70000.0,2.0,1.0
16,Brighton Heights,2.0,7247.0,0.02,4.19,26.4,241.0,3.3,2.0,0.02,0.06,0.12,0.05,0.03,0.12,0.1,0.26,0.09,0.07,Brighton Heights Park,Brighton Heights Playground,BRIGHTON WOODS RD,Parks - Northern,1022 Rothpletz St,175000.0,3.0,2.0
17,Brighton Heights,2.0,7247.0,0.02,4.19,26.4,241.0,3.3,2.0,0.02,0.06,0.12,0.05,0.03,0.12,0.1,0.26,0.09,0.07,Brighton Heights Park,Brighton Heights Playground,BRIGHTON WOODS RD,Parks - Northern,4012 Drexel Rd,149900.0,3.0,2.0
18,Brookline,5.0,13214.0,0.04,9.15,27.3,241.0,1.8,2.0,0.07,0.04,0.09,0.07,0.02,0.07,0.11,0.25,0.11,0.08,Brookline Memorial Park,Brookline Playground,OAKRIDGE ST,Parks - Southern,725 Berkshire,199000.0,4.0,0.0
19,Brookline,5.0,13214.0,0.04,9.15,27.3,241.0,1.8,2.0,0.07,0.04,0.09,0.07,0.02,0.07,0.11,0.25,0.11,0.08,Brookline Memorial Park,Brookline Playground,OAKRIDGE ST,Parks - Southern,2322 Freedom Ave,155000.0,4.0,2.0
20,Brookline,5.0,13214.0,0.04,9.15,27.3,241.0,1.8,2.0,0.07,0.04,0.09,0.07,0.02,0.07,0.11,0.25,0.11,0.08,Brookline Memorial Park,Brookline Playground,OAKRIDGE ST,Parks - Southern,162 Aidan Ct,215000.0,3.0,2.0
21,Brookline,5.0,13214.0,0.04,9.15,27.3,241.0,1.8,2.0,0.07,0.04,0.09,0.07,0.02,0.07,0.11,0.25,0.11,0.08,Brookline Memorial Park,Brookline Playground,OAKRIDGE ST,Parks - Southern,1105 Woodbourne Ave,40280.0,3.0,1.0
22,Brookline,5.0,13214.0,0.04,9.15,27.3,241.0,1.8,2.0,0.07,0.04,0.09,0.07,0.02,0.07,0.11,0.25,0.11,0.08,Brookline Memorial Park,Brookline Playground,OAKRIDGE ST,Parks - Southern,784 Southcrest Dr,206900.0,3.0,1.0
23,Brookline,5.0,13214.0,0.04,9.15,27.3,241.0,1.8,2.0,0.07,0.04,0.09,0.07,0.02,0.07,0.11,0.25,0.11,0.08,Brookline Memorial Park,Brookline Playground,OAKRIDGE ST,Parks - Southern,915 Rossmore,134900.0,3.0,2.0
24,Brookline,5.0,13214.0,0.04,9.15,27.3,241.0,1.8,2.0,0.07,0.04,0.09,0.07,0.02,0.07,0.11,0.25,0.11,0.08,Brookline Memorial Park,Brookline Playground,OAKRIDGE ST,Parks - Southern,202 Capital Ave,189900.0,3.0,2.0
25,Brookline,5.0,13214.0,0.04,9.15,27.3,241.0,1.8,2.0,0.07,0.04,0.09,0.07,0.02,0.07,0.11,0.25,0.11,0.08,Brookline Memorial Park,Brookline Playground,OAKRIDGE ST,Parks - Southern,1526 Woodbourne,159900.0,3.0,1.0
26,Brookline,5.0,13214.0,0.04,9.15,27.3,241.0,1.8,2.0,0.07,0.04,0.09,0.07,0.02,0.07,0.11,0.25,0.11,0.08,Brookline Memorial Park,Brookline Playground,OAKRIDGE ST,Parks - Southern,2320 Wolford St,129888.0,3.0,2.0
